2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
5,2,3,4,4,4,5,3,25,9,8,5,8,6,8,15,16,5,5,5,6,6,6,5,7,7,6,5,2,6,5,8,6,7,4,6,6,3,5,5,5,9,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,4,3,12,3,2,3,2,8,3,10,10,4,15,10,10,10,10,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1300,0,0,0,0,0,334,0,334,0,0,0,0,1872,1950,1900,0,0,0,2,0,0,0,0,0,0,0,0,2006,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,215245,1600,5644,1474,2336,6110,4692,2065,5642,1418,857,547,552,2010,2010,2010,0,4,3,14,3,2,3,2,8,3,0,0,2010,0,572,508,480,738,15500
'C (all)',Grvl,Grvl,IR3,Low,ELO,Corner,Sev,Blmngtn,Artery,Artery,1Fam,1.5Fin,Flat,ClyTile,'Wd Sdng','Brk Cmn',BrkCmn,Po,Po,BrkTil,NA,NA,NA,NA,NA,Floor,Po,N,FuseA,Po,Sal,NA,2Types,NA,NA,NA,N,NA,NA,Gar2,COD,Abnorml,50.2,22694.5,160,564.4,147.4,233.6,611,769.8,206.5,864.8,141.8,85.7,54.7,55.2,1886,1956,1911,1,1,1,3,1,1,1,1,1,1,1,1,2007,120,57.2,50.8,48,73.8,1550
FV,Pave,NA,IR2,HLS,NoSeWa,CulDSac,Mod,Blueste,Feedr,Feedr,2fmCon,1.5Unf,Gable,CompShg,AsbShng,'Wd Sdng',BrkFace,Fa,Fa,CBlock,Po,Po,No,Unf,Unf,GasA,Fa,Y,FuseF,Fa,Sev,Po,Attchd,Unf,Po,Po,P,Fa,MnWw,NA,CWD,AdjLand,79.4,44089,320,1128.8,294.8,467.2,1222,1205.6,413,1395.6,283.6,171.4,109.4,110.4,1900,1962,1922,10,2,2,4,2, ,2, ,2,2,2,2,2008,160,114.4,101.6,96,147.6,3100
RH, ,Pave,IR1,Bnk,NoSewr,FR2,Gtl,BrDale,Norm,Norm,Duplex,1Story,Gambrel,Membran,AsphShn,'Wd Shng',NA,TA,TA,PConc,Fa,Fa,Mn,LwQ,LwQ,GasW,TA, ,FuseP,TA,Maj2,Fa,Basment,RFn,Fa,Fa,Y,TA,GdWo,Othr,Con,Alloca,108.6,65483.5,480,1693.2,442.2,700.8,1833,1641.4,619.5,1926.4,425.4,257.1,164.1,165.6,1914,1968,1933,11,3, ,5, , , , ,3, ,3,3,2009,180,171.6,152.4,144,221.4,4650
RL, , ,Reg,Lvl,AllPub,FR3, ,BrkSide,PosA,PosA,Twnhs,2.5Fin,Hip,Metal,BrkComm,AsbShng,None,Gd,Gd,Slab,TA,TA,Av,Rec,Rec,Grav,Gd, ,Mix,Gd,Maj1,TA,BuiltIn,Fin,TA,TA, ,Gd,MnPrv,Shed,ConLD,Family,137.8,86878,640,2257.6,589.6,934.4,2444,2077.2,826,2457.2,567.2,342.8,218.8,220.8,1928,1974,1944,12, , ,6, , , , ,4, ,4,4, ,190,228.8,203.2,192,295.2,6200
RM, , , , , ,Inside, ,ClearCr,PosN,PosN,TwnhsE,2.5Unf,Mansard,Roll,BrkFace,AsphShn,Stone,Ex,Ex,Stone,Gd,Gd,Gd,BLQ,BLQ,OthW,Ex, ,NA,Ex,Mod,Gd,CarPort, ,Gd,Gd, ,Ex,GdPrv,TenC,ConLI,Normal,167,108272.5,800,2822,737,1168,3055,2513,1032.5,2988,709,428.5,273.5,276,1942,1980,1955,2, , ,7, , , , ,5, ,5,5, ,20,286,254,240,369,7750
 , , , , , , , ,CollgCr,RRAe,RRAe, ,2Story,Shed,Tar&Grv,CBlock,BrkFace, , , ,Wood,Ex,Ex, ,ALQ,ALQ,Wall, , ,SBrkr, ,Min2,Ex,Detchd, ,Ex,Ex, , , , ,ConLw,Partial,196.2,129667,960,3386.4,884.4,1401.6,3666,2948,1239,3518.8,850.8,514.2,328.2,331.2,1956,1986,1966,3, , ,8, , , , ,6, ,6,6, ,30,343.2,304.8,288,442.8,9300
 , , , , , , , ,Crawfor,RRAn,RRAn, ,SFoyer, ,WdShake,CemntBd,CBlock, , , , , , , ,GLQ,GLQ, , , , , ,Min1, ,NA, , , , , , , ,New, ,225.4,151061.5,1120,3950.8,1031.8,1635.2,4277,3384.6,1445.5,4049.6,992.6,599.9,382.9,386.4,1970,1992,1977,4, , ,9, , , , ,7, ,7,7, ,40,400.4,355.6,336,516.6,10850
 , , , , , , , ,Edwards,RRNe,RRNn, ,SLvl, ,WdShngl,HdBoard,CmentBd, , , , , , , , , , , , , , ,Typ, , , , , , , , , ,Oth, ,254.6,172456,1280,4515.2,1179.2,1868.8,4888,3820.4,1652,4580.4,1134.4,685.6,437.6,441.6,1983,1998,1988,5, , ,10, , , , , , ,8,8, ,45,457.6,406.4,384,590.4,12400
 , , , , , , , ,Gilbert,RRNn, , , , , ,ImStucc,HdBoard, , , , , , , , , , , , , , , , , , , , , , , , ,WD, ,283.8,193850.5,1440,5079.6,1326.6,2102.4,5499,4256.2,1858.5,5111.2,1276.2,771.3,492.3,496.8,1996,2004,1999,6, , ,11, , , , , , ,9,9, ,50,514.8,457.2,432,664.2,13950
 , , , , , , , ,IDOTRR, , , , , , ,MetalSd,ImStucc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7, , ,12, , , , , , ,10,10, ,60, , , , , 
 , , , , , , , ,MeadowV, , , , , , ,Plywood,MetalSd, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8, , ,13, , , , , , , , , ,70, , , , , 
 , , , , , , , ,Mitchel, , , , , , ,Stone,Other, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, , , , , , , , , , , , ,75, , , , , 
 , , , , , , , ,NAmes, , , , , , ,Stucco,Plywood, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,80, , , , , 
 , , , , , , , ,NPkVill, , , , , , ,VinylSd,Stone, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,85, , , , , 
 , , , , , , , ,NWAmes, , , , , , ,WdShing,Stucco, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,90, , , , , 
 , , , , , , , ,NoRidge, , , , , , , ,VinylSd, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , ,NridgHt, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , ,OldTown, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , ,SWISU, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , ,Sawyer, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , ,SawyerW, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , ,Somerst, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , ,StoneBr, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
 , , , , , , , ,Timber, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
